
id,category,value
1,A,1
2,B,2
3,C,3
4,A,4
5,B,5
6,C,6
7,A,7
8,B,8
9,C,9
10,A,10
11,B,11
12,C,12
13,A,13
14,B,14
15,C,15
16,A,16
17,B,17
18,C,18
19,A,19
20,B,20
21,C,21
22,A,22
23,B,23
24,C,24
25,A,25
26,B,26
27,C,27
28,A,28
29,B,29
30,C,30
31,A,31
32,B,32
33,C,33
34,A,34
35,B,35
36,C,36
37,A,37
38,B,38
39,C,39
40,A,40
41,B,41
42,C,42
43,A,43
44,B,44
45,C,45
46,A,46
47,B,47
48,C,48
49,A,49
50,B,50
51,C,51
52,A,52
53,B,53
54,C,54
55,A,55
56,B,56
57,C,57
58,A,58
59,B,59
60,C,60
61,A,61
62,B,62
63,C,63
64,A,64
65,B,65
66,C,66
67,A,67
68,B,68
69,C,69
70,A,70
71,B,71
72,C,72
73,A,73
74,B,74
75,C,75
76,A,76
77,B,77
78,C,78
79,A,79
80,B,80
81,C,81
82,A,82
83,B,83
84,C,84
85,A,85
86,B,86
87,C,87
88,A,88
89,B,89
90,C,90
91,A,91
92,B,92
93,C,93
94,A,94
95,B,95
96,C,96
97,A,97
98,B,98
99,C,99
100,A,100
101,B,101
102,C,102
103,A,103
104,B,104
105,C,105
106,A,106
107,B,107
108,C,108
109,A,109
110,B,110
111,C,111
112,A,112
113,B,113
114,C,114
115,A,115
116,B,116
117,C,117
118,A,118
119,B,119
120,C,120
121,A,121
122,B,122
123,C,123
124,A,124
125,B,125
126,C,126
127,A,127
128,B,128
129,C,129
130,A,130
131,B,131
132,C,132
133,A,133
134,B,134
135,C,135
136,A,136
137,B,137
138,C,138
139,A,139
140,B,140
141,C,141
142,A,142
143,B,143
144,C,144
145,A,145
146,B,146
147,C,147
148,A,148
149,B,149
150,C,150
151,A,151
152,B,152
153,C,153
154,A,154
155,B,155
156,C,156
157,A,157
158,B,158
159,C,159
160,A,160
161,B,161
162,C,162
163,A,163
164,B,164
165,C,165
166,A,166
167,B,167
168,C,168
169,A,169
170,B,170
171,C,171
172,A,172
173,B,173
174,C,174
175,A,175
176,B,176
177,C,177
178,A,178
179,B,179
180,C,180
181,A,181
182,B,182
183,C,183
184,A,184
185,B,185
186,C,186
187,A,187
188,B,188
189,C,189
190,A,190
191,B,191
192,C,192
193,A,193
194,B,194
195,C,195
196,A,196
197,B,197
198,C,198
199,A,199
200,B,200
201,C,201
202,A,202
203,B,203
204,C,204
205,A,205
206,B,206
207,C,207
208,A,208
209,B,209
210,C,210
211,A,211
212,B,212
213,C,213
214,A,214
215,B,215
216,C,216
217,A,217
218,B,218
219,C,219
220,A,220
221,B,221
222,C,222
223,A,223
224,B,224
225,C,225
226,A,226
227,B,227
228,C,228
229,A,229
230,B,230
231,C,231
232,A,232
233,B,233
234,C,234
235,A,235
236,B,236
237,C,237
238,A,238
239,B,239
240,C,240
241,A,241
242,B,242
243,C,243
244,A,244
245,B,245
246,C,246
247,A,247
248,B,248
249,C,249
250,A,250
251,B,251
252,C,252
253,A,253
254,B,254
255,C,255
256,A,256
257,B,257
258,C,258
259,A,259
260,B,260
261,C,261
262,A,262
263,B,263
264,C,264
265,A,265
266,B,266
267,C,267
268,A,268
269,B,269
270,C,270
271,A,271
272,B,272
273,C,273
274,A,274
275,B,275
276,C,276
277,A,277
278,B,278
279,C,279
280,A,280
281,B,281
282,C,282
283,A,283
284,B,284
285,C,285
286,A,286
287,B,287
288,C,288
289,A,289
290,B,290
291,C,291
292,A,292
293,B,293
294,C,294
295,A,295
296,B,296
297,C,297
298,A,298
299,B,299
300,C,300
301,A,301
302,B,302
303,C,303
304,A,304
305,B,305
306,C,306
307,A,307
308,B,308
309,C,309
310,A,310
311,B,311
312,C,312
313,A,313
314,B,314
315,C,315
316,A,316
317,B,317
318,C,318
319,A,319
320,B,320
321,C,321
322,A,322
323,B,323
324,C,324
325,A,325
326,B,326
327,C,327
328,A,328
329,B,329
330,C,330
331,A,331
332,B,332
333,C,333
334,A,334
335,B,335
336,C,336
337,A,337
338,B,338
339,C,339
340,A,340
341,B,341
342,C,342
343,A,343
344,B,344
345,C,345
346,A,346
347,B,347
348,C,348
349,A,349
350,B,350
351,C,351
352,A,352
353,B,353
354,C,354
355,A,355
356,B,356
357,C,357
358,A,358
359,B,359
360,C,360
361,A,361
362,B,362
363,C,363
364,A,364
365,B,365
366,C,366
367,A,367
368,B,368
369,C,369
370,A,370
371,B,371
372,C,372
373,A,373
374,B,374
375,C,375
376,A,376
377,B,377
378,C,378
379,A,379
380,B,380
381,C,381
382,A,382
383,B,383
384,C,384
385,A,385
386,B,386
387,C,387
388,A,388
389,B,389
390,C,390
391,A,391
392,B,392
393,C,393
394,A,394
395,B,395
396,C,396
397,A,397
398,B,398
399,C,399
400,A,400
401,B,401
402,C,402
403,A,403
404,B,404
405,C,405
406,A,406
407,B,407
408,C,408
409,A,409
